url,products,product_catalog,product_catalog_module,product_catalog_module_url,report_id,is_database,industries,data_source,schema_name,relevant_tables,agent_tool,keywords,data_dictionary ,product_prompt,image_urls
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,MOG,M Intelligence,https://www.spinnakerhub.com/sales-prophet/individual-life/market-overview,8a1e9e9e-2200-4ed2-87dd-73779b23384e,Y,IL,Postgres SQL,public,"[mi_master_geo, il_mi_income, il_mi_population, il_mi_life_agents_by_zipcode, il_mi_mog, il_mi_client_dummy]",sql_tool,"[market intelligence, market overview, market premium, market policies, policy, premium, policy count, premium, total premium, total policies]",MOG_IL_DATA_DIC,MOG_IL_PROMPT,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,MOG,Wallet Share,https://www.spinnakerhub.com/sales-prophet/individual-life/wallet-share-assessment,de878502-5307-4254-acac-ae1496405107,Y,Individual Life,Postgres SQL,public,"[il_mi_mog, il_mi_client_dummy, mi_master_geo]",sql_tool,"[wallet share, policy share, premium share]",MOG_IL_DATA_DIC,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,MOG,Sales Opty,https://www.spinnakerhub.com/sales-prophet/individual-life/sales-opportunity,3d975db2-c000-423f-9c9b-79dff4460edf,Y,Individual Life,Postgres SQL,public,"[il_mi_sales_opty, mi_master_geo]",sql_tool,"[sales opportunity, sales opty]",MOG_IL_DATA_DIC,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,MOG,Agent Performance,https://www.spinnakerhub.com/sales-prophet/individual-life/agent-performance,1c39996f-80bd-4438-b415-db651849a0ac,Y,Individual Life,Postgres SQL,public,"[mi_master_geo, il_mi_life_agents_by_zipcode, il_mi_population, il_mi_income]",sql_tool,"[agent performance, agent count, market agents, company agents]",MOG_IL_DATA_DIC,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,MOG,M Intelligence,https://www.spinnakerhub.com/sales-prophet/annuity/market-overview,bcfe32b5-e29d-4a34-806f-00e98ebedbae,Y,Annuity,Postgres SQL,public,"[annuity_mog_data, mi_master_geo, il_mi_income, il_mi_population]",,"[market premium, market policies, total premium, total policies, annuity]",MOG_Annuity_DATA_DIC,MOG_ANNUITY_PROMPT,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,MOG,M Intelligence,https://www.spinnakerhub.com/sales-prophet/worksite/market-overview,1081f7cc-174e-4e51-8440-93e5ed4ebf7e,Y,Worksite,Postgres SQL,public,"[worksite_mog_data, workste_employers_and_establishments, mi_master_geo, il_mi_income, il_mi_population]",,"[total [premium, total policies, market premium, market policies, worksite]",MOG_Worksite_DATA_DIC,MOG_WORKSITE_PROMPT,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,MOG,M Intelligence,https://www.spinnakerhub.com/sales-prophet/employee-benefits/market-overview,25cf6e7e-1f45-4101-a47f-0882b6c9b262,Y,EB,DirectLake Data Connection (MS Fabric),,,,[],,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,MOG,M Intelligence,https://www.spinnakerhub.com/sales-prophet/wealth-management/market-overview,73ebf4d9-69b2-416b-9810-f0ac7ff8fba1,Y,Wealth Management,Postgres SQL,public,"[il_mi_income, il_mi_population]",,"[income, population, household income]",MOG_Wealth_Management_DATA_DIC,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Sales Planning,Intelligent Goal Setter,https://www.spinnakerhub.com/sales-prophet/employee-benefits/intelligent-goal-setter,,,EB,,,,,,,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Sales Planning,Intelligent Goal Setter,https://www.spinnakerhub.com/sales-prophet/property-and-casualty/intelligent-goal-setter,,,P&C,,,,,,,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Sales Planning,Sales Funnel,https://www.spinnakerhub.com/sales-prophet/annuity/sales-funnel,,,Annuity,Image,,,image_tool,,,,"[""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_1.webp"", ""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_2.webp""]"
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Sales Planning,Sales Funnel,https://www.spinnakerhub.com/sales-prophet/property-and-casualty/sales-funnel,,,P&C,Image,,,image_tool,,,,"[""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_1.webp"", ""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_2.webp""]"
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Sales Planning,Sales Funnel,https://www.spinnakerhub.com/sales-prophet/employee-benefits/sales-funnel,,,EB,Image,,,image_tool,,,,"[""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_1.webp"", ""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_2.webp""]"
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Sales Planning,Sales Funnel,https://www.spinnakerhub.com/sales-prophet/reinsurance/sales-funnel,,,Reinsurance,Image,,,image_tool,,,,"[""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_1.webp"", ""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_2.webp""]"
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Sales Planning,Sales Funnel,https://www.spinnakerhub.com/sales-prophet/brokers/sales-funnel,,,Brokers,Image,,,image_tool,,,,"[""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_1.webp"", ""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_2.webp""]"
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Sales Planning,Sales Funnel,https://www.spinnakerhub.com/sales-prophet/wealth-management/sales-funnel,,,Wealth Management,Image,,,image_tool,,,,"[""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_1.webp"", ""https://spinnakerwebsiteassets.s3.amazonaws.com/spinnaker.online/modules/sales-prophet/salesfunnel_2.webp""]"
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Territory Designer,Territory Design,https://www.spinnakerhub.com/sales-prophet/individual-life/territory-design,ef4917ad-12cd-42cf-bc1f-a81920c6ba2d,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Territory Designer,Territory Design Tool,https://www.spinnakerhub.com/sales-prophet/individual-life/territory-design-tool,,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,InsurIQ,InsurIQ,https://www.spinnakerhub.com/sales-prophet/property-and-casualty/insuriq,,,P&C,DirectLake Data Connection (MS Fabric),,,,,,,
https://www.spinnakerhub.com/sales-prophet,Sales Prophet,Broker Score Card,Broker Score Card,https://www.spinnakerhub.com/sales-prophet/employee-benefits/broker-score-card,1531a467-b7ee-4e73-a4a2-c769fdd67932,,Employee Benefits,,public,"[eb_bsc_inforce_es, eb_bsc_pol_by_pol_es, eb_bsc_renewals_with_brokers, eb_bsc_slf_broker_by_policy_prod]",,,,,
https://www.spinnakerhub.com/commission-intelligence,,Commission Intelligence,Contract Ingestion,https://www.spinnakerhub.com/commission-intelligence/property-and-casualty/contract-ingestion,,,Property and Casualty,,,,,,,,
https://www.spinnakerhub.com/commission-intelligence,,Commission Intelligence,Contract Ingestion,https://www.spinnakerhub.com/commission-intelligence/employee-benefits/contract-ingestion,,,Employee Benefits,,,,,,,,
https://www.spinnakerhub.com/commission-intelligence,,Commission Intelligence,Contract Summary,https://www.spinnakerhub.com/commission-intelligence/property-and-casualty/contract-summary,,,Property and Casualty,Postgres SQL,public,[contract_summary],sql_tool,,CONTRACT_SUMMARY_DATA_DIC,CONTRACT_SUMMARY_PROMPT,
https://www.spinnakerhub.com/commission-intelligence,,Commission Intelligence,Contract Summary,https://www.spinnakerhub.com/commission-intelligence/employee-benefits/contract-summary,,,Employee Benefits,,,,,,,,
https://www.spinnakerhub.com/commission-intelligence,,Commission Intelligence,Contract Comparison,https://www.spinnakerhub.com/commission-intelligence/property-and-casualty/contract-comparison,,,Property and Casualty,,,,contract_comparator,,,,
https://www.spinnakerhub.com/commission-intelligence,,Commission Intelligence,Contract Comparison,https://www.spinnakerhub.com/commission-intelligence/employee-benefits/contract-comparison,,,Employee Benefits,,,,contract_comparator,,,,
https://www.spinnakerhub.com/commission-intelligence,,Commission Intelligence,Commission Tool,https://www.spinnakerhub.com/commission-intelligence/property-and-casualty/commission-tool-agency-level,,,Property and Casualty,,,,,,,,
https://www.spinnakerhub.com/commission-intelligence,,Commission Intelligence,Commission Tool,https://www.spinnakerhub.com/commission-intelligence/employee-benefits/commission-tool-agency-level,,,Employee Benefits,,,,,,,,
https://www.spinnakerhub.com/commission-intelligence,,Commission Intelligence,Commission Forecasting,https://www.spinnakerhub.com/commission-intelligence/property-and-casualty/commission-forecasting,41894522-5dd0-4a52-adff-a88b0c195630,,Property and Casualty,,,,,,,,
https://www.spinnakerhub.com/4qast,,4Qast,Leadership Dashboard,https://www.spinnakerhub.com/4qast/commercial-lines-pnc/leadership-dashboard,cd1bf986-a1e0-43ed-a6b4-30448253f676,,Commercial Lines P&C,,,"[ leadership_db_core_revenue, leadership_db_date_dimension, leadership_db_fast_output, leadership_db_fast_output_unpivoted, leadership_db_master_file, leadership_db_master_file_unpivoted ]",,,,,
https://www.spinnakerhub.com/4qast,,4Qast,Leadership Dashboard,https://www.spinnakerhub.com/4qast/personal-lines-pnc/leadership-dashboard,cd1bf986-a1e0-43ed-a6b4-30448253f676,,Personal Lines P&C,,,"[ leadership_db_core_revenue, leadership_db_date_dimension, leadership_db_fast_output, leadership_db_fast_output_unpivoted, leadership_db_master_file, leadership_db_master_file_unpivoted ]",,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Dashboard,https://www.spinnakerhub.com/4qast/individual-life/4qast-dashboard,6ffde7f4-c981-4811-abff-580928bc8cf9,,Individual Life,Postgres SQL,4qast,"[il_4qast_console_data, il_4qast_waterfall_tab]",,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Dashboard,https://www.spinnakerhub.com/4qast/ecommerce-and-consumer-goods/4qast-dashboard,86453d80-0135-44ef-a4f4-458bc231a76c,,E-Commerce and Consumer Goods,,,,,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Dashboard,https://www.spinnakerhub.com/4qast/supplemental-health/4qast-dashboard,6ffde7f4-c981-4811-abff-580928bc8cf9,,Supplemental Health,,,,,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Dashboard,https://www.spinnakerhub.com/4qast/commercial-lines-pnc/4qast-dashboard,b85ada73-f4fe-4ae7-bbc0-e86c10df7db0,,Commercial Lines P&C,,,,,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Dashboard,https://www.spinnakerhub.com/4qast/personal-lines-pnc/4qast-dashboard,b85ada73-f4fe-4ae7-bbc0-e86c10df7db0,,Personal Lines P&C,,,,,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Drilldown,https://www.spinnakerhub.com/4qast/individual-life/4qast-drill-down,db8c1026-1e03-4a37-9a83-9682f2e857bf,Y,Individual Life,Postgres SQL,4qast,[  ],,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Drilldown,https://www.spinnakerhub.com/4qast/ecommerce-and-consumer-goods/4qast-drill-down,5e36abb7-3a28-4a7f-baf3-eb24c39651a8,,E-Commerce and Consumer Goods,,,,,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Drilldown,https://www.spinnakerhub.com/4qast/supplemental-health/4qast-drill-down,db8c1026-1e03-4a37-9a83-9682f2e857bf,,Supplemental Health,,,,,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Drilldown,https://www.spinnakerhub.com/4qast/commercial-lines-pnc/4qast-drill-down,c3e85374-9693-4ab2-9b77-67c0ff9dcc6d,,Commercial Lines P&C,,,,,,,,
https://www.spinnakerhub.com/4qast,,4Qast,4Qast Drilldown,https://www.spinnakerhub.com/4qast/personal-lines-pnc/4qast-drill-down,c3e85374-9693-4ab2-9b77-67c0ff9dcc6d,,Personal Lines P&C,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Work Inventory,https://www.spinnakerhub.com/lead-prioritizer/individual-life/work-inventory,8da128d2-7355-4de6-82e6-f607c6b13afe,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Work Inventory,https://www.spinnakerhub.com/lead-prioritizer/employee-benefits/work-inventory,,,Employee Benefits,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Work Inventory,https://www.spinnakerhub.com/lead-prioritizer/commercial-lines-pnc/work-inventory,42ef4c86-e7b1-4b29-b881-b23aab9ecbf0,,Commercial Lines P&C,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Work Inventory,https://www.spinnakerhub.com/lead-prioritizer/personal-lines-pnc/work-inventory,de965bfd-b8fb-4d09-bfbd-eff87a2057dc,,Personal Lines P&C,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Score Calculator ,https://www.spinnakerhub.com/lead-prioritizer/individual-life/score-calculator,,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Score Calculator ,https://www.spinnakerhub.com/lead-prioritizer/employee-benefits/score-calculator,,,Employee Benefits,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Score Calculator ,https://www.spinnakerhub.com/lead-prioritizer/commercial-lines-pnc/score-calculator,,,Commercial Lines P&C,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Score Calculator ,https://www.spinnakerhub.com/lead-prioritizer/personal-lines-pnc/score-calculator,,,Personal Lines P&C,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Attribute Analysis,https://www.spinnakerhub.com/lead-prioritizer/individual-life/attribute-analysis,a611e3b8-7cc4-46fb-b302-49d610378e3f,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Attribute Analysis,https://www.spinnakerhub.com/lead-prioritizer/employee-benefits/attribute-analysis,4688ad6f-57a1-4092-9bb6-42ef77f437c7,,Employee Benefits,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Attribute Analysis,https://www.spinnakerhub.com/lead-prioritizer/commercial-lines-pnc/attribute-analysis,89defba0-26c4-4949-a882-84a13dcc7c23,,Commercial Lines P&C,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Attribute Analysis,https://www.spinnakerhub.com/lead-prioritizer/personal-lines-pnc/attribute-analysis,14b490cc-ecc5-4256-91c4-4eb4489abf84,,Personal Lines P&C,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Priority Bin Dashboard,https://www.spinnakerhub.com/lead-prioritizer/individual-life/priority-bin-dashboard,,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Priority Bin Dashboard,https://www.spinnakerhub.com/lead-prioritizer/commercial-lines-pnc/priority-bin-dashboard,,,Commercial Lines P&C,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Priority Bin Dashboard,https://www.spinnakerhub.com/lead-prioritizer/personal-lines-pnc/priority-bin-dashboard,,,Personal Lines P&C,,,,,,,,
https://www.spinnakerhub.com/lead-prioritizer,,Lead Prioritizer ,Score Distribution,https://www.spinnakerhub.com/lead-prioritizer/individual-life/score-distribution,c2f6131a-6466-4197-a97b-49df67b4f7fb,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/cartalyze,,Catalyze,Product Recommendation,https://www.spinnakerhub.com/cartalyze/individual-life/product-recommendation,,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/cartalyze,,Catalyze,Customer Profiler,https://www.spinnakerhub.com/cartalyze/individual-life/customer-profiler,,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/cartalyze,,Catalyze,Cross Sell Engine,https://www.spinnakerhub.com/cartalyze/employee-benefits/cross-sell-engine,3d2b425e-0002-43dc-8e86-0c57e7cffcd2,Y,Employee Benefits,Postgres SQL,,eb_cse_cross_sell_engine_data,,,,,
https://www.spinnakerhub.com/cartalyze,,Catalyze,Cross Sell Dashboard,https://www.spinnakerhub.com/cartalyze/employee-benefits/cross-sell-dashboard,988d722c-2817-4d4a-a6e2-8bef0ad02f1f,Y,Employee Benefits,Postgres SQL,,"[ eb_cross_sell_data, eb_inforce_by_account, eb_inforce_by_account_state, eb_product_vs_lives_bin, eb_territory ]",,,,,
https://www.spinnakerhub.com/cartalyze,,Catalyze,Pricing Optimizer,https://www.spinnakerhub.com/cartalyze/ecommerce-and-consumer-goods/pricing-optimizer,7aa67443-6994-4e06-b353-c68fa133fa02,,E-Commerce and Consumer Goods,,,,,,,,
https://www.spinnakerhub.com/capmod,,Capmod,Claims Forecasting,https://www.spinnakerhub.com/capmod/commercial-lines-pnc/claims-staffing-model,80ee24cb-298b-4cf3-88ea-1904b2ffe676,Y,Commercial Lines P&C,Postgres SQL,capmod,"[ pnc_incidence, pnc_inforce, pnc_new_claims, pnc_tmg_claims_transformed ]",sql_tool,,,,
https://www.spinnakerhub.com/capmod,,Capmod,Claims Staffing Model,https://www.spinnakerhub.com/capmod/individual-life/productivity-charts,c9a2163b-d073-4a51-ae6b-51a6c1356037,,Individual Life,,,,,,,,
https://www.spinnakerhub.com/capmod,,Capmod,Productivity Charts,https://www.spinnakerhub.com/capmod/employee-benefits/productivity-charts,,,Employee Benefits,,,,,,,,
https://www.spinnakerhub.com/capmod,,Capmod,Productivity Charts,https://www.spinnakerhub.com/capmod/commercial-lines-pnc/productivity-charts,,,Commercial Lines P&C,,,,,,,,
